Sr no,Date,Startup name,Industry Vertical,Sub Vertical,City Location,Investment Name,Investment Type,Amount in USD,Remarks
2273,26/11/2015,Stelae,Content Management Softwar,nan,Chennai,Earlsfield Capital,Private Equity,N/A,Pre-Series A
2274,26/11/2015,GoQii,Fitness Tracking Management,nan,Mumbai,New Enterprise Ass,Private Equity,"1,34,00,000",Series B
2275,26/11/2015,Grofers,Hyper-local Grocery Delivery p,nan,Gurgaon,"Softbank, Tiger Glo",Private Equity,"12,00,00,000",Late Stage
2276,26/11/2015,Pluss,Hyperlocal healthcare product,nan,Gurgaon,"IDG Ventures, M &",Private Equity,"10,00,000",Pre-Series A
2277,26/11/2015,KountMoney,Online Lending Marketplace,nan,Bangalore,"Tracxn, Ashish Goe",Seed Funding,N/A,
2278,27/11/2015,StayGlad,On Demand Beauty Services,nan,Bangalore,Bessemer Venture,Private Equity,N/A,Series A
2279,27/11/2015,JustRide,Self Driven Rental Car Platfor,nan,Mumbai,N/A,Private Equity,"20,00,000",Pre-Series A bridge round
2280,27/11/2015,Fastudent,Education Content etailer,nan,Noida,Ashish Gupta,Seed Funding,N/A,
2281,27/11/2015,LearnOn,Clud based Learning platform,nan,Chennai,JMR Infotech India,Seed Funding,N/A,
2282,27/11/2015,Talentrack,Talent Exchange & Talent Ser,nan,New Delhi,Unigrowth Inc,Seed Funding,N/A,
2283,28/11/2015,M-TAXI,Two-Wheeler Taxi Service,nan,Gurgaon,"Mandeep Singh, Jai",Seed Funding,N/A,
2284,30/11/2015,Baxi,Two-Wheeler Taxi Service,nan,Gurgaon,"Manish Kheterpal, A",Seed Funding,"14,50,000",
2285,30/11/2015,Superhero Brands,character merchandize sales p,nan,Mumbai,DSG Consumer Par,Seed Funding,"5,40,000",
2286,30/11/2015,MoMagic,Mobile Application Developer,nan,New Delhi,FIH Mobile Ltd,Private Equity,N/A,Strategic Investment
2287,30/11/2015,QikPod,Ecommerce Delivery locker se,nan,Bangalore,"Flipkart, Accel Partn",Private Equity,"90,00,000",Series A
2288,30/11/2015,Butterfly Interactive,extra curricular activities mark,nan,New Delhi,Undisclosed investo,Seed Funding,N/A,
2289,30/11/2015,Bro4U,Hyperlocal Online Home servi,nan,Bangalore,Sargod Ventures,Seed Funding,N/A,
2290,01/10/2015,Indifi,Easy Business Loans platform,nan,Gurgaon,"Accel Partners, Elev",Seed Funding,N/A,
2291,01/10/2015,Wydr,Performance based Wholesal,nan,New Delhi,Sandeep Aggarwal,Seed Funding,N/A,
2292,01/10/2015,EasyFix,Professional Services Marketp,nan,Gurgaon,Axilor Ventures,Seed Funding,N/A,
2293,01/10/2015,Muvizz,Movie-on-demand platform,nan,Singapore,"Ashish Todi, Abhina",Seed Funding,"3,50,000",
2294,01/10/2015,Abhibus,us ticketing and fleet manage,nan,Hyderabad,Paytm (One97 com,Private Equity,N/A,Strategic Investment
2295,01/10/2015,Cleartax,Online Income Tax Filing platf,nan,New Delhi,Paytm (One97 com,Private Equity,N/A,N/A
2296,02/10/2015,Shopalyst,Product discovery & recomme,nan,Bangalore,Kalaari Capital,Private Equity,"20,00,000",Series A
2297,03/10/2015,Chillr,Mobile Payments App,nan,Mumbai,Sequoia Capital,Private Equity,"60,00,000",Series A
2298,05/10/2015,Nykaa,Beauty & Wellness Products e,nan,Mumbai,"Harsh Mariwala, Atu",Private Equity,"95,00,000",Series B
2299,05/10/2015,Voylla,Fashion jewelry and accessori,nan,Jaipur,Peepul Capital,Private Equity,"1,50,00,000",Series B
2300,05/10/2015,IndiaLends,Online Consumer Lending pla,nan,New Delhi,DSG consumer Par,Private Equity,"10,00,000",Pre-Series A Bridge round
2301,05/10/2015,Rock N Shop,Premium Apparel shopping po,nan,New Delhi,High Networth Indiv,Seed Funding,"1,50,000",
2302,06/10/2015,DocPlexus,Exclusive Platform for Doctors,nan,Pune,"Uniqorn ventures, A",Seed Funding,"7,00,000",
2303,06/10/2015,WorkIndia,Job Board,nan,Mumbai,"Satyen Kothari, Kes",Seed Funding,"5,00,000",Pre-Series A
2304,06/10/2015,SportzVillage,Sports Management & Physic,nan,Bangalore,Gaja Capital Private,Private Equity,"1,00,00,000",Series B
2305,06/10/2015,SportyBeans,multi-sport program for presch,nan,Pune,YouWeCan Venture,Seed Funding,N/A,
2306,06/10/2015,Burger Singh,QSR & Online delivery portal,nan,Gurgaon,"Ashvin Chadha, Avt",Seed Funding,"5,00,000",Bridge Round
2307,06/10/2015,Welcome Cure,Online Homeopathy Clinic,nan,Mumbai,Unnamed Media ho,Private Equity,"60,00,000",Pre-Series A
2308,07/10/2015,SchoolGuru,E-Learning Service Provider,nan,Mumbai,High Networth Indiv,Private Equity,"30,00,000",Series A
2309,07/10/2015,Naturally Yours,Organic Food etailer,nan,Mumbai,Sanjay Mehta,Seed Funding,N/A,
2310,07/10/2015,GoJavas,Delivery & Logistics Service pr,nan,Gurgaon,Snapdeal,Private Equity,"2,00,00,000",Strategic Funding (Series C)
2311,07/10/2015,Scandid,Product Discovery & comparis,nan,Pune,Micromax Informatic,Private Equity,N/A,Strategic Funding
2312,07/10/2015,StalkBuyLove,Online Apparels Fashion bran,nan,New Delhi,"Mato Peric, Peter K",Private Equity,N/A,Series A
2313,08/10/2015,ZuperMeal,Home Cooked Food marketpla,nan,Mumbai,"Sanjeev Kapoor,\\xc",Private Equity,"20,00,000",Series A
2314,08/10/2015,Cube26,Gesture based Mobile Develo,nan,New Delhi,Tiger Global Manag,Private Equity,"77,00,000",Series A
2315,08/10/2015,Mobikon,Hotel Mobile CRM Software pl,nan,Pune / Singapor,"Life.SREDA, Qualgr",Private Equity,N/A,Series B
2316,08/10/2015,Grabhouse,Rental Accommodation Searc,nan,Bangalore,Sequoia and Kalaar,Private Equity,"1,00,00,000",Series B
2317,08/10/2015,Quifers,Logistics Tech Platform,nan,Mumbai,"Vikas Agarwal, Vish",Seed Funding,"3,10,000",
2318,09/10/2015,Stockroom,Developer Portfolio Showcase,nan,Hyderabad,Undisclosed Investo,Seed Funding,"70,000",
2319,09/10/2015,Curofy,Doctors Network Mobile App,nan,New Delhi,RoundGlass Partne,Private Equity,N/A,Pre-Series A
2320,09/10/2015,Cloud Lending,End-to-End Lending platform,nan,Bangalore,SF Capital Group,Private Equity,"80,00,000",Series A
2321,09/10/2015,Inayo,on-demand healthcare market,nan,Mumbai,"Kemark Ventures, A",Seed Funding,"3,00,000",
2322,09/10/2015,WoNoBo,360-degree view creating platf,nan,Bangalore,Quikr,Private Equity,N/A,Strategic Funding
2323,09/10/2015,Kulzy,Advertising & Marketing Com,nan,New Delhi,"Seedfund, Bedrock",Seed Funding,"10,00,000",
2324,09/10/2015,Zeppery,Food Ordering & Delivery App,nan,New Delhi,Suyash Sharma,Seed Funding,"77,000",
2325,12/10/2015,Zify,Ride Sharing platform,nan,Hyderabad,Sean O99Sullivan &,Seed Funding,"1,90,000",
2326,12/10/2015,Faircent,Online P2P lending marketpla,nan,Gurgaon,Aarin Capital Partne,Private Equity,N/A,Series A
2327,12/10/2015,Bizongo,B2B marketplace for industrial,nan,Mumbai,Accel Partners,Seed Funding,N/A,
2328,12/10/2015,Gridle,Cloud Based Collaboration pla,nan,Ahmedabad,LetsVenture,Seed Funding,"1,00,000",
2329,12/10/2015,Tripoto,global community for travellers,nan,New Delhi,"500 Startups, IDG V",Private Equity,N/A,Series A
2330,12/10/2015,Mubble,Prepaid Bill manager App,nan,Bangalore,Accel Partners,Private Equity,N/A,Series A
2331,13/10/2015,Voodoo,Mobile Only Shopping Assista,nan,New Delhi,SAIF Partners,Seed Funding,"10,00,000",
2332,13/10/2015,Lookup,Mobile Messaging Assistant A,nan,Bangalore,"Khosla Impact, Biz",Private Equity,"25,00,000",Series A
2333,14/10/2015,AskMyGift,Personalized Wish List creator,nan,Noida,Turning Ideas,Seed Funding,"50,000",
2334,14/10/2015,Gaana,Music Streaming mobile app,nan,Mumbai,Micromax Informatic,Private Equity,N/A,Strategic Funding
2335,14/10/2015,Zappfresh,Raw Meat & Ready to eat food,nan,Gurgaon,Undisclosed Investo,Seed Funding,"77,000",
2336,14/10/2015,GymTrekker,Gym Discovery platform,nan,Mumbai,"Dewang Neralla,Ro",Seed Funding,N/A,
2337,15/10/2015,Bounty App,Online Purchase rewards app,nan,Bangalore,"Fireside Ventures, M",Seed Funding,N/A,
2338,16/10/2015,Homers,Home rental platform,nan,Gurgaon,"Devesh Rai G, Raje",Seed Funding,N/A,
2339,16/10/2015,mShipper,Crowdsourced Delivery platfor,nan,New Delhi,Vijai Laxmi,Seed Funding,N/A,
2340,16/10/2015,BolRealty,Real Estate Insights platform,nan,New Delhi,Manpreet Singh,Seed Funding,N/A,
2341,17/10/2015,S-Cube Futuretech,Structural & Civil Engg Service,nan,Mumbai,Parampara Capital,Private Equity,"10,00,000",Series A
2342,19/10/2015,LetsVenture,Startup Funding Marketplace,nan,Bangalore,"Accel Partners, Anu",Private Equity,N/A,Series A
2343,19/10/2015,Citrus Payment,Payments Solution platform,nan,Mumbai,"Sequoia Capital, As",Private Equity,"2,50,00,000",Series C
2344,19/10/2015,Holidify,Travel Destination Discovery p,nan,New Delhi,Aarti Group,Seed Funding,"1,00,000",
2345,20/10/2015,PrimaSeller,Order Fulfillment SAAS platfor,nan,Bangalore,Dr. Aniruddha Malp,Seed Funding,N/A,
2346,20/10/2015,Opinio,Last Mile Delivery Service,nan,Bangalore,"Delhivery, Sands Ca",Private Equity,"70,00,000",Series A
2347,20/10/2015,Attune Technologies,Healthcare IT Solutions & serv,nan,Chennai,"Qualcomm Venture,",Private Equity,"1,00,00,000",Series B
2348,20/10/2015,iChef,Gourmet Meals Delivery,nan,Mumbai,Springboard Ventur,Private Equity,N/A,
2349,21/10/2015,Jiyo Natural,Healthy Meals Food delivery p,nan,Bangalore,Indian Angel Netwo,Seed Funding,N/A,
2350,21/10/2015,AgentDesks,Real Estate Mobile CRM,nan,India,"Sierra Ventures, Co",Seed Funding,"29,50,000",
2351,21/10/2015,White Owl Brewery,Micro-Brewery,nan,Mumbai,"Arihant Patni, RAAY",Private Equity,"15,30,000",Series A
2352,21/10/2015,MealHopper,Home Made Food Marketplac,nan,Gurgaon,"Alok Bajpai, Rajnish",Seed Funding,"1,00,000",
2353,21/10/2015,Zenify,residential rental management,nan,Bangalore,"Atul Jalan, Shrikant",Seed Funding,"6,40,000",
2354,21/10/2015,Stockal,Personalized Stock Intelligenc,nan,Bangalore,"R Natarajan, Mohan",Seed Funding,N/A,
2355,23/10/2015,Medd,Personal Diagnostic Mobile Ap,nan,Mumbai,Group of Angel inve,Seed Funding,"1,50,000",Bridge Round
2356,23/10/2015,Leaping Caravan,Online food ordering & Deliver,nan,Gurgaon,Group of Angel inve,Seed Funding,"1,50,000",
2357,23/10/2015,Frsh,Online food ordering & Deliver,nan,Gurgaon,"Mumbai Angels, Ma",Private Equity,"10,00,000",Bridge Round
2358,23/10/2015,Qik Stay,Hotel Aggregator & booking pl,nan,New Delhi,ID Enablers Pvt Ltd,Seed Funding,"2,50,000",
2359,26/10/2015,Parcelled,Online Logistics Platform,nan,Bangalore,Delhivery,Private Equity,"50,00,000",
2360,26/10/2015,AlmaMapper,Online Student & Campus Soc,nan,Ahmedabad,Oswal Techno Vent,Seed Funding,"4,00,000",
2361,26/10/2015,Flexing It,Professionals & Project Searc,nan,New Delhi,undisclosed private,Seed Funding,"5,00,000",
2362,26/10/2015,Netmeds,Online Pharmacy,nan,Chennai,"OrbiMed, Pradip Da",Private Equity,"5,00,00,000",Series A
2363,26/10/2015,Razorpay,Online Payment Gateway,nan,Jaipur,Tiger Global Manag,Private Equity,"90,00,000",Series A
2364,27/10/2015,Jombay,Psychometric Test Online Soft,nan,Pune,Ventureworks India,Private Equity,N/A,
2365,27/10/2015,Happitoo,Location based Nightlife recom,nan,Mumbai,Unnamed investor,Seed Funding,"77,000",
2366,27/10/2015,Care24,Professional Health Services,nan,Mumbai,India Quotient,Seed Funding,"3,50,000",
2367,27/10/2015,Roadrunnr,Hyperlocal Logistics Service,nan,Bangalore,"Sequoia Capital, Ne",Private Equity,"1,00,00,000",Series B
2368,27/10/2015,Simpli5d,Online user engagement platf,nan,Gurgaon,"Redcliffe Capital, Yo",Private Equity,N/A,Bridge Funding
2369,28/10/2015,ORIGA Leasing,Asset Financing platform,nan,Mumbai,"ah! Ventures, 500 S",Seed Funding,"11,00,000",
2370,28/10/2015,Smartivity,Virtual Reality activity based le,nan,New Delhi,S Chand and Co Pv,Seed Funding,"2,00,000",
2371,28/10/2015,UrDoorStep,Online Grocery Store,nan,Bangalore,Jupiter Capital,Private Equity,N/A,Series A
2372,29/10/2015,Tavaga,Investment management platf,nan,Mumbai,Tracxn Syndicate,Seed Funding,N/A,
2373,29/10/2015,Moglix,Industrial Toons Marketplace,nan,Noida,"Accel Partner, Jung",Private Equity,N/A,pre-Series A
2374,29/10/2015,ZopHop,Public Commute helper App,nan,Mumbai,"Amit Singhal, PK G",Seed Funding,"4,50,000",
2375,30/10/2015,NIki,Artificial Intelligence Ecommer,nan,Bangalore,Unilazer Ventures,Seed Funding,N/A,
2376,30/10/2015,Instavans,Truck Aggregator & Logistics s,nan,Bangalore,Suresh Vaswani,Seed Funding,N/A,
2377,30/10/2015,LiftO,Ridesharing Mobile app,nan,Mumbai,"Rajesh Bhatia, Dhe",Seed Funding,"1,30,000",
2378,30/10/2015,TinyOwl,Food Discovery & Delivery Mo,nan,Mumbai,"Sequoia Capital, Ma",Private Equity,"75,00,000",Series B
2379,30/10/2015,Toppr,Competitive exam learning pla,nan,Mumbai,InnoVen Capital,Private Equity,"20,00,000",Series C
2380,30/10/2015,Kleeto,Document Digitization platform,nan,Gurgaon,GREX,Seed Funding,"2,30,000",pre-Series A
2381,30/10/2015,BeaconsTalk,proximity marketing & Mobile,nan,Mumbai,Puneet Bhatia & oth,Seed Funding,"80,000",
2382,31/10/2015,Jugnoo,Autorickshaw Aggregator & Bo,nan,Chandigarh,Paytm,Private Equity,"1,00,00,000",Series B
2383,01/9/2015,TOFlo,FinTech Startup Incubation pla,nan,Mumbai,Tania Johny Palathi,Seed Funding,"1,00,000",
2384,01/9/2015,FXMartIndia,Payment Services platform,nan,Chandigarh,Flipkart,Private Equity,N/A,Strategic Investment (Majority Stake)
2385,01/9/2015,Stylecracker,Personalized Styling platform,nan,Mumbai,Group of HNI invest,Private Equity,"10,00,000",Series A
2386,01/9/2015,Luxuryhues,Luxury goods\\xc2\\xa0 Shopp,nan,Gurgaon,Reliance Capital,Private Equity,"9,00,000",Series A
2387,02/9/2015,HolaChef,Food Delivery Platform,nan,Mumbai,Ratan Tata,Private Equity,N/A,Part of Series A raised in June 2015
2388,02/9/2015,Zivame,Online Lingerie Marketplace,nan,Bangalore,Zodius Technology,Private Equity,"4,00,00,000",Series C
2389,02/9/2015,Capillary Tech,Cloud software solutions,nan,New Delhi,"Warburg Pincus, Se",Private Equity,"4,50,00,000",Series D
2390,03/9/2015,Jobspire,Job Search Platform,nan,Bangalore,Purvi Capital,Seed Funding,"2,60,000",
2391,03/9/2015,MeraDoctor,Doctor consultancy Mobile Ap,nan,Mumbai,India Quotient & oth,Seed Funding,N/A,
2392,03/9/2015,Vistaar Finance,Small Business Financing (NB,nan,Bangalore,"WestBridge Capital,",Private Equity,"4,00,00,000",
2393,03/9/2015,HiJinny,Beauty & Wellness Services M,nan,Mumbai,CMYK Health Bouti,Seed Funding,N/A,
2394,04/9/2015,Clapsnslaps,Online Movie Review Platform,nan,Mumbai,R M Picture Compa,Seed Funding,"1,50,000",
2395,04/9/2015,Blubox,ECommerce Brands\\xe2\\x80,nan,Mumbai,Ashish Jhalani,Seed Funding,"1,00,000",
2396,04/9/2015,RoomCentral,Cloud-based Hotel Booking Pl,nan,Bangalore,Karanpal Singh,Seed Funding,"20,00,000",
2397,07/9/2015,YouthKiAwaaz,Community Driven News/View,nan,New Delhi,"Raghav Bahl, Ritu K",Seed Funding,"6,00,000",
2398,07/9/2015,Prozo,Study Material Marketplace,nan,New Delhi,"Nalin Jain, Shomil P",Seed Funding,"2,05,000",
2399,07/9/2015,Zomato,Restaurant Ratings & Reviews,nan,Gurgaon,"Temasek, Vy Capita",Private Equity,"6,00,00,000",Late Stage
2400,07/9/2015,Sahayog Dairy,Dairy Based Product Manufac,nan,Bhopal,Acumen Fund,Private Equity,"18,00,000",Series A
2401,08/9/2015,MockBank,Government Test Preparation,nan,Bangalore,Blume Ventures,Seed Funding,"4,00,000",
2402,08/9/2015,ReportBee,Smart Report Cards for Schoo,nan,Chennai,India Educational In,Seed Funding,N/A,
2403,08/9/2015,GuruG Learning,Teacher empowerment platfor,nan,Bangalore,India Educational In,Seed Funding,N/A,
2404,10/9/2015,OnlineTyari,Multilingual Test Preparation P,nan,Gurgaon,"500 Startups, TV M",Private Equity,"7,70,000",Series A
2405,10/9/2015,IndustryBuying,Industrial Tools Marketplace,nan,New Delhi,"Kalaari Capital, SAI",Private Equity,"92,00,000",Series B
2406,10/9/2015,The/Nudge Foundation,Non Profit Organization to alle,nan,Bangalore,"Nanadan Nilekani, I",Seed Funding,"3,15,000",
2407,11/9/2015,FitMeIn,Gym & Fitness Studios Subsc,nan,New Delhi,Green House Ventu,Seed Funding,"1,00,000",
2408,11/9/2015,Envoged,pre-used luxury item Marketpl,nan,Mumbai,"Ankush Nijhawan, M",Seed Funding,N/A,
2409,11/9/2015,Zapyle,pre-used apparel shopping mo,nan,Bangalore,N/A,Seed Funding,"10,00,000",
2410,11/9/2015,Renomania,Home Design & D\\xc3\\xa9co,nan,New Delhi,Subodh Gupta,Seed Funding,N/A,
2411,12/9/2015,CredR,Used Vehicles Marketplace,nan,Mumbai,Eight Road Venture,Private Equity,"1,50,00,000",Series A
2412,12/9/2015,YatraGenie,Online Bus & Cab ticketing pla,nan,Hyderabad,Ash Bhardwaj,Private Equity,N/A,Series A
2413,14/9/2015,CanvasFlip,Mobile App testing platform,nan,Hyderabad,Bessemer Venture,Seed Funding,"12,00,000",
2414,14/9/2015,Shadowfax,Hyperlocal Delivery Services,nan,Gurgaon,Eight Roads Ventur,Private Equity,"90,00,000",Series A
2415,14/9/2015,UE Life Sciences,Early Cancer Detection Solutio,nan,US/India,"Aarin Capital, Unitu",Private Equity,"30,00,000",Series A
2416,14/9/2015,Ola Cabs,Cab rental Mobile app,nan,Bangalore,Falcon Edge Capita,Private Equity,"22,50,00,000",Late Stage
2417,15/9/2015,Coverfox,Online Insurance Distribution,nan,Mumbai,Cataraman Venture,Private Equity,"20,00,000",Part of $12M Series B funding
2418,15/9/2015,MoEngage,Mobile Marketing Automation,nan,Bangalore,Helion Venture Part,Private Equity,"42,50,000",Series A
2419,15/9/2015,Mubble,Prepaid Mobile Bill Manager A,nan,Bangalore,Nandan Nilekani,Seed Funding,N/A,
2420,15/9/2015,Tea Trails,Chain of Tea Caf\\xc3\\xa9\\xe,nan,Mumbai,"Anil Matai, Vikram T",Seed Funding,"10,00,000",
2421,15/9/2015,Room on Call,Branded Budget Hotel Market,nan,Noida,Payal Syal,Seed Funding,"3,00,000",
2422,15/9/2015,FYNE,Home Fitting & Fixtures Marke,nan,Bangalore,Sandeep Dama & O,Seed Funding,N/A,Pre-Series A
2423,16/9/2015,ChaiPoint,Food Subscription platform,nan,Bangalore,Eight Roads Ventur,Private Equity,"1,00,00,000",Series A
2424,16/9/2015,WedmeGood,Wedding Planning Platform,nan,Gurgaon,Indian Angel Netwo,Seed Funding,"4,10,000",
2425,16/9/2015,XSTOK,B2B Mobile Auction Marketpla,nan,Mumbai,Oliphans Capital,Seed Funding,"4,50,000",
2426,17/9/2015,UniLog,ECommerce Data Analytics Pl,nan,Bangalore,Kalaari Capital,Private Equity,N/A,
2427,17/9/2015,Paintcollar,Designer Merchandize Market,nan,Mumbai,Applyifi,Seed Funding,N/A,Bridge Funding
2428,17/9/2015,YepMe,Private label Fashion eTailer,nan,Gurgaon,Khazanah Nasional,Private Equity,"7,50,00,000",Series D
2429,17/9/2015,Bueno,Online Food ordering & delive,nan,Gurgaon,High Networth Indiv,Seed Funding,"6,00,000",
2430,18/9/2015,Plabro,Real Estate Broker Platform A,nan,New Delhi,Sachin Bansal & Bi,Seed Funding,"3,50,000",
2431,18/9/2015,CureJoy,Online Health & Wellness platf,nan,Bangalore,"Accel Partners, Sub",Private Equity,"11,50,000",Pre-Series A
2432,18/9/2015,Briston Technomach,Internet of Things platform,nan,New Delhi,Undisclosed,Seed Funding,"1,50,000",
2433,18/9/2015,LabStreet,Diagnostic Labs aggregator pl,nan,Gurgaon,Multiple investors,Seed Funding,"1,50,000",
2434,19/9/2015,DailyNinja,Hyperlocal Delivery Platform,nan,Bangalore,Aprameya Radhakri,Seed Funding,N/A,
2435,21/9/2015,Portea Medical,Home Medical Care Services,nan,Bangalore,"Accel Partners, Inte",Private Equity,"3,75,00,000",
2436,21/9/2015,Neotrade Analytics,Real-Time stock data platform,nan,Bangalore,Rainmatter,Seed Funding,"2,35,000",
2437,21/9/2015,DishCo,Food discovery & table bookin,nan,Mumbai,"Anand Mahindra, U",Seed Funding,N/A,
2438,21/9/2015,LafaLafa,coupons and cashback aggreg,nan,Mumbai,500 Startups,Seed Funding,"1,25,000",thru Accelerator
2439,21/9/2015,ConnectAbank,Financial Products lead gener,nan,Mumbai,Prakhar Bumb,Seed Funding,N/A,
2440,22/9/2015,VillFarm,Sustainable Agri-inputs Firm,nan,Bangalore,"Unitus Seed Fund,",Seed Funding,N/A,
2441,22/9/2015,Bestdealfinance,Financial Services Portal,nan,Mumbai,"Kalaari Capital, You",Private Equity,"30,00,000",Series A
2442,22/9/2015,GameXS,Pre-owned games Marketplac,nan,New Delhi,Lead Angels,Seed Funding,N/A,
2443,22/9/2015,The Man Company,Content-based Subscription e,nan,New Delhi,"Karan Bajwa, Aman",Seed Funding,N/A,
2444,22/9/2015,Virtual Logic,"virtual reality, 3d simulation an",nan,Bangalore,Swarnim Multiventu,Private Equity,"8,00,000",Pre-Series A
2445,22/9/2015,Furdo,Online Interior Designing platf,nan,Bangalore,Bhavdeep Reddy,Seed Funding,"4,00,000",
2446,22/9/2015,LogiNext,End-to-end Logistics platform,nan,Mumbai,Paytm,Private Equity,"1,00,00,000",Series A
2447,22/9/2015,Korra,Private Label Apparel sales,nan,New Delhi,Asha Jadeja Motwa,Seed Funding,"3,00,000",
2448,23/9/2015,Credihealth,Healthcare Consulting platform,nan,Gurgaon,Rajat Malhotra,Seed Funding,N/A,
2449,23/9/2015,Amigobulls,Stock Market Portal,nan,Bangalore,"Sharad Sharma, Vij",Seed Funding,N/A,
2450,23/9/2015,SilverPush,Cross-device retargeting platfo,nan,Gurgaon / SFO,M&S Partners,Private Equity,"12,00,000",Series A
2451,23/9/2015,Juggernaut,Digital & Physical Publishing p,nan,New Delhi,"William Bissell, Nee",Private Equity,"22,50,000",Series A
2452,23/9/2015,InnerChef,Food Delivery Platform,nan,New Delhi,"Phanindra Sama, A",Private Equity,"17,50,000",pre-Series A
2453,24/9/2015,Quintype,Data Driven Publishing platfor,nan,Bangalore,Raghav Bahl,Private Equity,"33,00,000",
2454,24/9/2015,Capabiliti,Employee OnBoarding & Orie,nan,Noida,"500 Startups, Smile",Seed Funding,"4,00,000",
2455,24/9/2015,Fourth Partner Energy,Solar Power Solutions compa,nan,Hyderabad,"Infuse Ventures, Th",Private Equity,"20,00,000",Series A
2456,24/9/2015,Licious,Online Meat Ordering platform,nan,Bangalore,"Kanwaljit Singh, TV",Seed Funding,"10,00,000",
2457,25/9/2015,TravelKhana,online meal-booking platform f,nan,New Delhi,Astarc Ventures & O,Seed Funding,N/A,Pre-Series A
2458,28/9/2015,Quickli,hyperlocal delivery platform,nan,New Delhi,"500 Startups, Mato",Seed Funding,N/A,
2459,28/9/2015,Ola Cabs,Cab Booking app platform,nan,Bangalore,Didi Kuaidi,Private Equity,"3,00,00,000",late Stage (part of $500M funding rnd)
2460,29/9/2015,Paytm,E-Commerce & M-Commerce,nan,New Delhi,"Alibaba Group, Ant",Private Equity,"68,00,00,000",Late Stage (Alibaba @ 40% equity)
2461,29/9/2015,Inmobi,Mobile Advertising platform,nan,Bangalore,Tennenbaum Capita,Private Equity,"10,00,00,000",Late Stage
2462,29/9/2015,Peppertap,Hyperlocal Grocery Delivery,nan,Gurgaon,"Sequoia India, SAIF",Private Equity,"3,60,00,000",Series B
2463,29/9/2015,Hugefly,Ecommerce Product recomme,nan,Pune,Mayank Singhal an,Seed Funding,N/A,
2464,29/9/2015,Brigge,Activity Based Social Network,nan,Chennai,The Chennai Angel,Seed Funding,N/A,
2465,29/9/2015,Zakoopi,Fashion Discovery platform,nan,New Delhi,Uniqorn Ventures,Seed Funding,"3,50,000",
2466,29/9/2015,LoanCircle,Consumer lending marketplac,nan,Bangalore,"Zishaan Hayath, Ra",Seed Funding,N/A,
2467,30/9/2015,Infoworks,Big Data Management Platfor,nan,Bangalore,Nexus Venture Part,Private Equity,"50,00,000",
2468,30/9/2015,RedDoorz,Budget Accommodation Platfo,nan,Noida,Jungle Ventures,Seed Funding,"10,00,000",
2469,30/9/2015,FirstTouch,Local Mobile OS,nan,Gurgaon,"Kunal Bahl, Rohit B",Seed Funding,N/A,Super angel round
2470,30/9/2015,Eywa Media,Digital Signal processing platf,nan,Bangalore,"ah! Ventures, Viktor",Seed Funding,"10,00,000",
2471,01/8/2015,Snapdeal,Ecommerce Marketplace,nan,New Delhi,"Alibaba, Foxconn, S",Private Equity,"50,00,00,000",Late Stage Round 7th (More details)
2472,01/8/2015,Ressy,Restaurant Discount app,nan,Pune,Mohandas Pai & oth,Seed Funding,"4,00,000",
2473,03/8/2015,Cuelearn,Tech-enabled learning,nan,New Delhi,Alok Mittal,Seed Funding,N/A,
2474,03/8/2015,Connect India,ECommerce Logistics provide,nan,New Delhi,Aavishkaar,Private Equity,"50,00,000",Series A
2475,03/8/2015,The Home Salon,on-demand home beauty and,nan,Mumbai,VentureNursery,Seed Funding,N/A,
2476,03/8/2015,Jusride,Self Driven Car rental,nan,Mumbai,"Alok Mittal, Zeesha",Seed Funding,N/A,
2477,03/8/2015,Oyorooms,Budget Hotel accommodation,nan,New Delhi,"SoftBank Group, Gr",Private Equity,"10,00,00,000",Series B
2478,03/8/2015,Glowship,Energy & Environment Online,nan,Bangalore,Infuse Ventures,Seed Funding,N/A,
2479,03/8/2015,Wizrocket,User Engagment & Analytics p,nan,Mumbai,"Sequoia Capital, Ac",Private Equity,"96,00,000",Series B
2480,04/8/2015,Pickingo,On-Demand Delivery Logistics,nan,New Delhi,Orios Venture Partn,Private Equity,"13,00,000",Series A
2481,05/8/2015,Grex,fund raising platform for startu,nan,Pune,"Kunal Bajaj, Chandr",Seed Funding,"6,50,000",
2482,05/8/2015,LetsTransport,Logistics Tech Platform,nan,Bangalore,"Rebright Partners, A",Seed Funding,"13,00,000",
2483,05/8/2015,Zo Rooms,Online budget hotel chain,nan,New Delhi,Tiger Global Manag,Private Equity,"3,00,00,000",Series A
2484,05/8/2015,Doormint,Hyperlocal Handyman service,nan,Mumbai,Helion Venture Part,Private Equity,"30,00,000",Series A
2485,05/8/2015,NightStay,hotel booking app,nan,Noida,"BedRock Ventures,",Seed Funding,"5,00,000",
2486,05/8/2015,Zocalo,Rental Accomodation finder,nan,New Delhi,"Sachin Bhatia, Raje",Seed Funding,N/A,
2487,05/8/2015,Sunday Realty Solutions,Tech Platform for property bro,nan,Mumbai,"Ramesh Jogani, Sh",Seed Funding,"7,85,000",
2488,06/8/2015,Klozee,Luxury Apparel rental,nan,Bangalore,Tracxn Labs,Seed Funding,N/A,
2489,06/8/2015,Appvigil,App security\\xc2\\xa0 testing,nan,Mumbai,"Ravi Gururaj, Gaura",Seed Funding,"5,00,000",pre Series-A
